gene,Mesen_EndoStromalFib_MenstrualEutopic,Mesen_EndoStromalFib_Prolif,Mesen_EndoStromalFib_eSec,Mesen_EndoStromalFib_lSec,Mesen_EndoStromalFib_mSec,Mesen_MyoFib
ENSG00000263990,0.4410197801978814,0.0650537325441066,0.0,0.0,0.051980913823019,0.0
ENSG00000275936,0.4248477650210919,0.4450704581806288,0.0,0.0,0.0,0.0
ENSG00000286067,0.3025049999170043,0.0,0.0,0.0,0.0,0.0
ENSG00000268812,0.0,0.6362059725824525,0.0,0.0,0.0,0.0
ENSG00000260510,0.0,0.0133325670938451,0.243375569123919,0.0,0.0898640832851359,0.0
ENSG00000235979,0.0,0.0,0.6376037250307417,0.2102942793378148,0.0,0.1892300113700304
ENSG00000281530,0.1204624027657735,0.4368662366866066,0.0,0.0,0.1876807403123192,0.0
ENSG00000268069,0.0,0.0,0.5247672119854221,0.0,0.0,0.0
ENSG00000274737,0.341719888644783,0.0,0.0,0.0,0.1520756611985269,0.4013617247657813
ENSG00000263412,0.2306892136413222,0.1184414688810987,0.0,0.0,0.0,0.0
ENSG00000278765,0.307463133239488,0.1065573339354658,0.0,0.0,0.017567958357432,0.0
ENSG00000272072,0.0,0.1265796764403817,0.3044917445264708,0.0,0.0,0.0
ENSG00000262312,0.0,0.297317493489003,0.0,0.0,0.0,0.0
ENSG00000237640,0.0213309554185618,0.3284812535673817,0.1228950815607803,0.0,0.0,0.0
ENSG00000286923,0.0738506186039407,0.0038216194471582,0.0,0.1020473157415832,0.0,0.0
ENSG00000214870,0.5446197131432126,0.411369191784067,0.0,0.0,0.0,0.0
ENSG00000225792,0.0,0.0,0.0,0.0413663171690694,0.6398422815106183,0.0
ENSG00000269987,0.0,0.0,0.2340117852372088,0.0,0.0684318038664945,0.0
ENSG00000237921,0.0,0.0,0.1975342975637561,0.0,0.6656932184134978,0.0
ENSG00000287489,0.0,0.0,0.7239579191467918,0.0,0.1918407808426838,0.0
ENSG00000257452,0.6236652319397497,0.0488908683408999,0.0,0.0,0.0,0.0
ENSG00000262298,0.5335415200722877,0.0067381184989368,0.0,0.0,0.0,0.0
ENSG00000263120,0.3466042744058976,0.3610269537842189,0.0,0.0,0.0,0.0
ENSG00000266088,0.0,0.0,0.3394776997359995,0.5455788409314355,0.2522837297849191,0.0
ENSG00000240499,0.0,0.0,0.2967618231296973,0.0,0.6476289948863747,0.0
ENSG00000267394,0.1582604731637466,0.0,0.4209322989432528,0.0,0.0,0.0
ENSG00000268673,0.4642109420528935,0.2691923420160989,0.0,0.0,0.0,0.0
ENSG00000249028,0.3239869774135793,0.0021406815700247,0.0,0.0,0.0990456911509543,0.0
ENSG00000265206,0.0,0.0,0.0,0.6498771898813699,0.0,0.0
ENSG00000228680,0.9053318673197548,0.0,0.0,0.0,0.0,0.0
ENSG00000263494,0.2702039132821937,0.1011122287892201,0.2381565585401814,0.0,0.0,0.0
ENSG00000282936,0.0,0.2913986130602279,0.0759727604576108,0.0,0.0,0.0
ENSG00000234203,0.0,0.3080506750623029,0.1890414478742165,0.0,0.0,0.0
ENSG00000262227,0.0,0.0,0.6018015514849366,0.0,0.0,0.0
ENSG00000262429,0.0234840384909118,0.1848456985230734,0.0,0.0,0.0,0.1145606248513683
ENSG00000262678,0.0,0.0,0.6505082621319676,0.0,0.0,0.0
ENSG00000282943,0.0,0.5181214312657308,0.0674078525641025,0.0,0.0,0.0
ENSG00000177369,0.0,0.0857996666858226,0.0,0.0,0.0,0.0
ENSG00000250132,0.0,0.1746738693178553,0.2319674894767247,0.0,0.0,0.0
ENSG00000277283,0.1728478085944729,0.163367047870812,0.0,0.0,0.0,0.0
ENSG00000259153,0.0881050129645635,0.4364396680812751,0.0965544871794871,0.0,0.0,0.0
ENSG00000275630,0.0325148923170918,0.2011029326637902,0.0,0.0,0.0,0.0
ENSG00000258517,0.0,0.7098534261974645,0.181640625,0.0,0.0,0.0
ENSG00000269927,0.2633850157870508,0.0,0.3522140711170999,0.0,0.0,0.0
ENSG00000269945,0.0,0.7329294637038665,0.0636518429487179,0.0,0.0,0.0
ENSG00000286423,0.0,0.5675206905449385,0.0633513621794871,0.0,0.0,0.0
ENSG00000274818,0.0,0.0,0.0,0.3369309853836096,0.0,0.0
ENSG00000287643,0.0145486482358332,0.0,0.0,0.0,0.2582823234594947,0.0
ENSG00000258871,0.0,0.6607403224522707,0.0,0.0,0.0,0.0
ENSG00000286333,0.2314216463061654,0.5985918161727839,0.0,0.0,0.0,0.0
ENSG00000228204,0.4325673322695528,0.0044537670248836,0.0,0.0679384302660466,0.0,0.0
ENSG00000273428,0.4307993204052649,0.0,0.0,0.1800332454024092,0.0,0.0
ENSG00000284523,0.2278119687627932,0.3517756771500739,0.0,0.0,0.0,0.0
ENSG00000228554,0.1667737984659557,0.0,0.0,0.0,0.5694178032895549,0.0
ENSG00000287584,0.2263008520112243,0.0330153439457502,0.0,0.0,0.0,0.1303768165503172
ENSG00000258376,0.0554452420956163,0.2388572349046414,0.0250499236461881,0.0,0.0,0.0
ENSG00000272768,0.0,0.0553991149933911,0.1837460421186462,0.0520928116469517,0.0,0.0323111817178983
ENSG00000232667,0.0,0.0,0.5454119606846197,0.0,0.3958329194811054,0.0
ENSG00000223829,0.0,0.0,0.0,0.4756662318347172,0.4223839954206287,0.0
ENSG00000232072,0.3306322537305005,0.0,0.0,0.1626478616924477,0.1699866086374288,0.0016564126833885
ENSG00000242154,0.0,0.0,0.0,0.0,0.6444373653453276,0.0
ENSG00000244198,0.0,0.3024673591527104,0.0,0.0,0.0,0.0
ENSG00000286305,0.0,0.0,0.5696422710932076,0.0,0.0089554737194509,0.0
ENSG00000285518,0.2211148562571098,0.3409659946082394,0.0313501602564102,0.0,0.0,0.0
ENSG00000272812,0.3070175362486464,0.0840468938566749,0.0,0.0,0.0,0.0134294786980682
ENSG00000273402,0.4284447855066562,0.2158093604781827,0.0,0.0,0.0,0.0
