gene,beta,beta_se,beta_z,pvalue,tau_star,tau_star_se,tau_star_z,celltype,run_prefix,gwas,h2_obs,n_snps,annot_sd,deltaZ,gene_symbol,type,modality
ENSG00000287336,3.87049611010477e-09,1.22084363446867e-09,3.17034548964926,0.0007612889212844,0.0441234784238976,0.0139175615301092,3.17034548964926,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.0326000490952256,AL137157.1,Gene,Expression
ENSG00000086061,3.87235667344759e-09,1.2398886612855e-09,3.12314871033079,0.0008946365867712,0.04414468876081,0.0141346739637429,3.12314871033079,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.0797968284136941,DNAJA1,Gene,Expression
ENSG00000136160,3.87311199107618e-09,1.23506542222752e-09,3.13595694719618,0.0008564717392007,0.0441532993471897,0.0140796892593397,3.13595694719618,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.0669885915482995,EDNRB,Gene,Expression
ENSG00000043355,3.88081249802061e-09,1.23726352400874e-09,3.13660947947996,0.0008545680645568,0.0442410847737474,0.0141047475189938,3.13660947947996,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.0663360592645192,ZIC2,Gene,Expression
ENSG00000085741,3.88141948349813e-09,1.23092563436001e-09,3.15325262156571,0.0008073100650746,0.0442480043803971,0.0140324958672123,3.15325262156571,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.0496929171787683,WNT11,Gene,Expression
ENSG00000110436,3.88231856742598e-09,1.22999560096942e-09,3.15636784746721,0.000798736289196,0.0442582538960052,0.0140218935291461,3.15636784746721,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.0465776912772715,SLC1A2,Gene,Expression
ENSG00000254975,3.88254922194448e-09,1.23124922899041e-09,3.15334144422415,0.0008070644372604,0.0442608833469543,0.0140361848311813,3.15334144422415,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.0496040945203347,AP001189.4,Gene,Expression
ENSG00000169016,3.88492178296509e-09,1.23889236968284e-09,3.13580249425513,0.0008569229052286,0.044287930433949,0.0141233162850931,3.13580249425512,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.0671430444893568,E2F6,Gene,Expression
ENSG00000253276,3.88667889759018e-09,1.23652066996729e-09,3.14323811319142,0.0008354492874319,0.0443079614602162,0.0140962790169368,3.14323811319142,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.0597074255530585,CCDC71L,Gene,Expression
ENSG00000155970,3.88753493299846e-09,1.2293748778666e-09,3.16220463179197,0.0007828974557386,0.0443177202246724,0.0140148173141971,3.16220463179197,Mesen_MyoFib,postnatal_uterus,HMB_Thibord2025,0.0178,1165846,0.174053163910254,0.0407409069525131,MICU3,Gene,Expression
